conda environment activated
/home2/codepk37

Epoch 23: Accuracy=0.6292
Epoch 24: Accuracy=0.6254
Epoch 25: Accuracy=0.6259
Epoch 26: Accuracy=0.6170
Epoch 27: Accuracy=0.6276
Epoch 28: Accuracy=0.6266
Epoch 29: Accuracy=0.6276
Epoch 30: Accuracy=0.6218
Epoch 31: Accuracy=0.6300
Epoch 32: Accuracy=0.6300
Epoch 33: Accuracy=0.6255
Epoch 34: Accuracy=0.6293
Epoch 35: Accuracy=0.6256
Epoch 36: Accuracy=0.6277
Epoch 37: Accuracy=0.6345
Epoch 38: Accuracy=0.6278
Epoch 39: Accuracy=0.6266
Epoch 40: Accuracy=0.6230
Epoch 41: Accuracy=0.6354
Epoch 42: Accuracy=0.6265
Epoch 43: Accuracy=0.6231
Epoch 44: Accuracy=0.6322
